binary,np,rank,total_s,comm_s,comm_pct,compute_s,compute_pct,io_s,io_pct
conway,1,0,0.0217,0.0000,0.1,0.0059,27.1,0.0158,72.7
conway,16,1,1.6902,0.0219,1.3,0.2478,14.7,1.4205,84.0
conway,16,2,1.6901,0.0405,2.4,0.2292,13.6,1.4205,84.0
conway,16,3,1.6902,0.0401,2.4,0.2296,13.6,1.4205,84.0
conway,16,10,1.6901,0.0928,5.5,0.1769,10.5,1.4205,84.0
conway,16,13,1.6902,0.0157,0.9,0.2541,15.0,1.4204,84.0
conway,16,8,1.6902,0.2576,15.2,0.0121,0.7,1.4205,84.0
conway,16,7,1.6902,0.0091,0.5,0.2605,15.4,1.4206,84.0
conway,16,9,1.6903,0.0274,1.6,0.2423,14.3,1.4206,84.0
conway,16,14,1.6902,0.0174,1.0,0.2523,14.9,1.4205,84.0
conway,16,11,1.6902,0.0465,2.7,0.2232,13.2,1.4205,84.0
conway,16,15,1.6903,0.0148,0.9,0.2548,15.1,1.4206,84.0
conway,16,4,1.6903,0.2576,15.2,0.0122,0.7,1.4205,84.0
conway,16,12,1.6903,0.2582,15.3,0.0115,0.7,1.4205,84.0
conway,16,6,1.6903,0.0183,1.1,0.2514,14.9,1.4205,84.0
conway,16,5,1.6904,0.0104,0.6,0.2593,15.3,1.4206,84.0
conway,16,0,1.6940,0.2582,15.2,0.0115,0.7,1.4243,84.1
conway,25,4,1.8980,0.0641,3.4,0.2601,13.7,1.5737,82.9
conway,25,1,1.8980,0.1307,6.9,0.1933,10.2,1.5740,82.9
conway,25,24,1.8979,0.0562,3.0,0.2680,14.1,1.5737,82.9
conway,25,0,1.8981,0.3088,16.3,0.0153,0.8,1.5740,82.9
conway,25,2,1.8981,0.0706,3.7,0.2535,13.4,1.5740,82.9
conway,25,20,1.8980,0.3084,16.2,0.0158,0.8,1.5739,82.9
conway,25,3,1.8981,0.0713,3.8,0.2528,13.3,1.5740,82.9
conway,25,19,1.8981,0.1086,5.7,0.2157,11.4,1.5738,82.9
conway,25,22,1.8980,0.1548,8.2,0.1694,8.9,1.5738,82.9
conway,25,5,1.8980,0.3088,16.3,0.0154,0.8,1.5739,82.9
conway,25,15,1.8981,0.3086,16.3,0.0156,0.8,1.5739,82.9
conway,25,21,1.8980,0.0569,3.0,0.2673,14.1,1.5738,82.9
conway,25,14,1.8980,0.0241,1.3,0.3001,15.8,1.5739,82.9
conway,25,7,1.8979,0.0306,1.6,0.2934,15.5,1.5739,82.9
conway,25,17,1.8981,0.0717,3.8,0.2525,13.3,1.5739,82.9
conway,25,23,1.8980,0.0560,3.0,0.2681,14.1,1.5739,82.9
conway,25,10,1.8980,0.3086,16.3,0.0156,0.8,1.5738,82.9
conway,25,8,1.8979,0.0146,0.8,0.3095,16.3,1.5739,82.9
conway,25,16,1.8980,0.1151,6.1,0.2089,11.0,1.5740,82.9
conway,25,12,1.8981,0.0416,2.2,0.2825,14.9,1.5740,82.9
conway,25,9,1.8980,0.0239,1.3,0.3003,15.8,1.5738,82.9
conway,25,13,1.8980,0.0296,1.6,0.2945,15.5,1.5740,82.9
conway,25,6,1.8980,0.0287,1.5,0.2953,15.6,1.5740,82.9
conway,25,11,1.8981,0.0288,1.5,0.2952,15.6,1.5741,82.9
conway,25,18,1.9020,0.0718,3.8,0.2523,13.3,1.5779,83.0
conway,36,1,2.0914,0.0410,2.0,0.3342,16.0,1.7162,82.1
conway,36,3,2.0914,0.0714,3.4,0.3039,14.5,1.7162,82.1
conway,36,4,2.0915,0.0820,3.9,0.2932,14.0,1.7162,82.1
conway,36,2,2.0915,0.0951,4.5,0.2802,13.4,1.7163,82.1
conway,36,0,2.0915,0.3551,17.0,0.0201,1.0,1.7163,82.1
conway,36,24,2.0912,0.3631,17.4,0.0121,0.6,1.7160,82.1
conway,36,21,2.0912,0.0208,1.0,0.3545,17.0,1.7160,82.1
conway,36,10,2.0913,0.1630,7.8,0.2122,10.1,1.7161,82.1
conway,36,17,2.0913,0.0566,2.7,0.3186,15.2,1.7161,82.1
conway,36,26,2.0912,0.0185,0.9,0.3568,17.1,1.7160,82.1
conway,36,34,2.0914,0.0346,1.7,0.3407,16.3,1.7161,82.1
conway,36,22,2.0913,0.0204,1.0,0.3548,17.0,1.7161,82.1
