binary,np,rank,total_s,comm_s,comm_pct,compute_s,compute_pct,io_s,io_pct
conway-mpi,1,0,2.3411,0.0000,0.0,2.3189,99.1,0.0222,0.9
conway-mpi,16,2,1.3909,0.0023,0.2,0.0573,4.1,1.3312,95.7
conway-mpi,16,3,1.3908,0.0033,0.2,0.0563,4.0,1.3312,95.7
conway-mpi,16,0,1.3908,0.0018,0.1,0.0578,4.2,1.3311,95.7
conway-mpi,16,10,1.3908,0.0028,0.2,0.0569,4.1,1.3311,95.7
conway-mpi,16,15,1.3908,0.0019,0.1,0.0577,4.1,1.3311,95.7
conway-mpi,16,4,1.3908,0.0014,0.1,0.0583,4.2,1.3311,95.7
conway-mpi,16,8,1.3909,0.0020,0.1,0.0576,4.1,1.3312,95.7
conway-mpi,16,9,1.3908,0.0029,0.2,0.0568,4.1,1.3312,95.7
conway-mpi,16,6,1.3908,0.0023,0.2,0.0574,4.1,1.3311,95.7
conway-mpi,16,14,1.3908,0.0017,0.1,0.0580,4.2,1.3311,95.7
conway-mpi,16,13,1.3907,0.0025,0.2,0.0570,4.1,1.3312,95.7
conway-mpi,16,11,1.3908,0.0027,0.2,0.0569,4.1,1.3313,95.7
conway-mpi,16,5,1.3908,0.0019,0.1,0.0577,4.2,1.3311,95.7
conway-mpi,16,12,1.3909,0.0017,0.1,0.0580,4.2,1.3312,95.7
conway-mpi,16,7,1.3908,0.0024,0.2,0.0572,4.1,1.3312,95.7
conway-mpi,16,1,1.3947,0.0025,0.2,0.0571,4.1,1.3350,95.7
conway-mpi,25,4,1.5618,0.0029,0.2,0.0431,2.8,1.5158,97.1
conway-mpi,25,0,1.5620,0.0026,0.2,0.0434,2.8,1.5159,97.1
conway-mpi,25,2,1.5620,0.0030,0.2,0.0430,2.8,1.5160,97.1
conway-mpi,25,3,1.5620,0.0032,0.2,0.0428,2.7,1.5160,97.1
conway-mpi,25,19,1.5619,0.0027,0.2,0.0434,2.8,1.5158,97.0
