binary,np,rank,total_s,comm_s,comm_pct,compute_s,compute_pct,io_s,io_pct
conway,1,0,0.0103,0.0000,0.4,0.0039,38.2,0.0063,61.3
conway,16,2,1.2025,0.0102,0.8,0.2649,22.0,0.9274,77.1
conway,16,3,1.2025,0.0073,0.6,0.2678,22.3,0.9274,77.1
conway,16,0,1.2025,0.2633,21.9,0.0118,1.0,0.9274,77.1
conway,16,1,1.2026,0.0084,0.7,0.2667,22.2,0.9274,77.1
conway,16,12,1.2025,0.2631,21.9,0.0121,1.0,0.9273,77.1
conway,16,13,1.2025,0.0733,6.1,0.2019,16.8,0.9273,77.1
conway,16,4,1.2025,0.2642,22.0,0.0111,0.9,0.9273,77.1
conway,16,14,1.2025,0.0934,7.8,0.1817,15.1,0.9273,77.1
conway,16,8,1.2025,0.2630,21.9,0.0122,1.0,0.9273,77.1
conway,16,5,1.2025,0.0848,7.1,0.1904,15.8,0.9273,77.1
conway,16,9,1.2025,0.0294,2.4,0.2457,20.4,0.9273,77.1
conway,16,6,1.2025,0.0472,3.9,0.2279,19.0,0.9273,77.1
conway,16,10,1.2025,0.0321,2.7,0.2431,20.2,0.9273,77.1
conway,16,7,1.2026,0.0658,5.5,0.2094,17.4,0.9274,77.1
conway,16,11,1.2025,0.0164,1.4,0.2587,21.5,0.9274,77.1
conway,16,15,1.2043,0.0923,7.7,0.1828,15.2,0.9292,77.2
conway,25,4,1.6192,0.1004,6.2,0.2079,12.8,1.3108,81.0
conway,25,2,1.6192,0.0364,2.2,0.2719,16.8,1.3108,81.0
conway,25,0,1.6192,0.2965,18.3,0.0118,0.7,1.3109,81.0
conway,25,3,1.6191,0.0329,2.0,0.2753,17.0,1.3109,81.0
conway,25,5,1.6190,0.2964,18.3,0.0118,0.7,1.3107,81.0
conway,25,1,1.6192,0.0338,2.1,0.2744,16.9,1.3110,81.0
conway,25,7,1.6191,0.0507,3.1,0.2575,15.9,1.3108,81.0
conway,25,14,1.6190,0.0215,1.3,0.2867,17.7,1.3107,81.0
conway,25,20,1.6190,0.2966,18.3,0.0117,0.7,1.3107,81.0
conway,25,11,1.6190,0.0186,1.1,0.2896,17.9,1.3108,81.0
conway,25,21,1.6190,0.0066,0.4,0.3017,18.6,1.3108,81.0
conway,25,17,1.6191,0.0231,1.4,0.2852,17.6,1.3108,81.0
conway,25,6,1.6190,0.0239,1.5,0.2844,17.6,1.3108,81.0
