binary,np,rank,total_s,comm_s,comm_pct,compute_s,compute_pct,io_s,io_pct
conway-mpi,1,0,0.0308,0.0000,0.1,0.0257,83.6,0.0050,16.3
conway-mpi,16,3,0.9007,0.0015,0.2,0.0259,2.9,0.8733,97.0
conway-mpi,16,1,0.9007,0.0015,0.2,0.0258,2.9,0.8734,97.0
conway-mpi,16,0,0.9007,0.0018,0.2,0.0255,2.8,0.8734,97.0
conway-mpi,16,2,0.9008,0.0011,0.1,0.0262,2.9,0.8735,97.0
conway-mpi,16,6,0.9007,0.0022,0.2,0.0252,2.8,0.8733,97.0
conway-mpi,16,15,0.9007,0.0015,0.2,0.0259,2.9,0.8733,97.0
conway-mpi,16,13,0.9007,0.0011,0.1,0.0262,2.9,0.8733,97.0
conway-mpi,16,4,0.9008,0.0015,0.2,0.0259,2.9,0.8734,97.0
conway-mpi,16,8,0.9008,0.0012,0.1,0.0261,2.9,0.8734,97.0
conway-mpi,16,10,0.9008,0.0013,0.1,0.0261,2.9,0.8734,97.0
conway-mpi,16,14,0.9007,0.0018,0.2,0.0255,2.8,0.8734,97.0
conway-mpi,16,7,0.9008,0.0012,0.1,0.0262,2.9,0.8734,97.0
conway-mpi,16,11,0.9007,0.0014,0.2,0.0259,2.9,0.8734,97.0
conway-mpi,16,5,0.9008,0.0014,0.2,0.0259,2.9,0.8735,97.0
conway-mpi,16,9,0.9008,0.0011,0.1,0.0262,2.9,0.8735,97.0
conway-mpi,16,12,0.9035,0.0009,0.1,0.0264,2.9,0.8762,97.0
conway-mpi,25,4,1.2182,0.0018,0.1,0.0262,2.1,1.1902,97.7
conway-mpi,25,0,1.2182,0.0022,0.2,0.0256,2.1,1.1903,97.7
conway-mpi,25,2,1.2183,0.0028,0.2,0.0251,2.1,1.1904,97.7
conway-mpi,25,3,1.2182,0.0019,0.2,0.0260,2.1,1.1903,97.7
conway-mpi,25,1,1.2181,0.0016,0.1,0.0262,2.1,1.1904,97.7
conway-mpi,25,24,1.2180,0.0023,0.2,0.0255,2.1,1.1902,97.7
conway-mpi,25,11,1.2180,0.0015,0.1,0.0263,2.2,1.1903,97.7
conway-mpi,25,22,1.2180,0.0025,0.2,0.0252,2.1,1.1902,97.7
conway-mpi,25,15,1.2182,0.0020,0.2,0.0258,2.1,1.1903,97.7
conway-mpi,25,10,1.2182,0.0018,0.2,0.0260,2.1,1.1903,97.7
conway-mpi,25,5,1.2182,0.0013,0.1,0.0265,2.2,1.1904,97.7
conway-mpi,25,23,1.2181,0.0015,0.1,0.0263,2.2,1.1902,97.7
conway-mpi,25,17,1.2182,0.0021,0.2,0.0258,2.1,1.1903,97.7
conway-mpi,25,12,1.2182,0.0018,0.1,0.0261,2.1,1.1903,97.7
conway-mpi,25,6,1.2181,0.0013,0.1,0.0265,2.2,1.1903,97.7
conway-mpi,25,14,1.2182,0.0017,0.1,0.0262,2.2,1.1903,97.7
